timestamp,device,session_id,seq,true_dist_m,angle_deg,distance_m,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,nlos_suspect,anchor_id,error_m,ampl1_ratio,cir_norm,ampl_spread
2026-02-19T22:50:58.437,T1,20260219_225121,191,1.0,0.0,2.659,-79.8,-104.8,-25.0,44.4,48,2417,2131,2127,9647,1378,True,1,1.6589999999999998,1.135274776890559,7.000725689404935,4
2026-02-19T22:50:59.881,T1,20260219_225121,194,1.0,0.0,3.485,-77.8,-96.2,-18.4,100.41,56,9990,5623,4036,14965,1602,True,1,2.485,2.0685371156434416,9.341448189762797,1587
2026-02-19T22:51:03.838,T1,20260219_225121,202,1.0,0.0,2.57,-76.4,-98.7,-22.3,84.9,48,5331,4075,3282,11212,1321,True,1,1.5699999999999998,1.4492320239227947,8.487509462528388,793
2026-02-19T22:51:04.437,T1,20260219_225121,203,1.0,0.0,3.011,-79.9,-96.3,-16.4,170.07,44,8656,7483,4687,13781,1654,True,1,2.011,1.4225143796220214,8.331922611850061,2796
2026-02-19T22:51:04.858,T1,20260219_225121,204,1.0,0.0,3.039,-80.0,-99.0,-19.0,99.34,56,3699,5563,5169,11812,1534,True,1,2.039,0.689340290719344,7.70013037809648,394
2026-02-19T22:51:05.397,T1,20260219_225121,205,1.0,0.0,2.819,-81.3,-99.1,-17.9,112.66,44,5150,4957,3524,10030,1479,True,1,1.819,1.214479424596156,6.781609195402299,1433
2026-02-19T22:51:05.937,T1,20260219_225121,206,1.0,0.0,2.931,-79.8,-97.6,-17.8,135.1,48,6293,6485,4675,12620,1577,True,1,1.931,1.1277777777777778,8.002536461636018,1810
2026-02-19T22:51:06.297,T1,20260219_225121,207,1.0,0.0,2.842,-84.4,-101.5,-17.1,96.5,48,3366,4632,3797,10395,1677,True,1,1.842,0.7986712540040337,6.198568872987478,835
2026-02-19T22:51:06.898,T1,20260219_225121,208,1.0,0.0,3.044,-81.3,-94.5,-13.2,199.55,56,5960,11175,9261,13459,1716,True,1,2.044,0.5832844000782932,7.843240093240094,1914
2026-02-19T22:51:07.437,T1,20260219_225121,209,1.0,0.0,3.264,-78.8,-93.2,-14.5,206.94,52,6916,10761,9004,11837,1473,True,1,2.264,0.6998229193017961,8.035980991174474,1757
2026-02-19T22:51:07.857,T1,20260219_225121,210,1.0,0.0,3.157,-79.4,-95.0,-15.5,202.27,40,8500,8091,4932,11123,1461,True,1,2.157,1.3053827843046917,7.61327857631759,3159
2026-02-19T22:51:08.878,T1,20260219_225121,212,1.0,0.0,3.213,-76.4,-96.8,-20.4,105.42,52,6165,5482,3211,10148,1259,True,1,2.213,1.418382606695042,8.060365369340747,2271
2026-02-19T22:51:09.297,T1,20260219_225121,213,1.0,0.0,2.899,-79.6,-97.7,-18.2,130.1,52,5653,6765,4964,13157,1598,True,1,1.899,0.9639355443771848,8.233416770963705,1801
2026-02-19T22:51:10.318,T1,20260219_225121,215,1.0,0.0,2.885,-79.9,-97.1,-17.3,139.73,48,6116,6707,4950,11695,1521,True,1,1.885,1.0493265848846187,7.689020381328073,1757
2026-02-19T22:51:11.337,T1,20260219_225121,217,1.0,0.0,3.513,-79.8,-95.2,-15.3,165.12,48,11495,7926,4936,15308,1739,True,1,2.513,1.7874358575649198,8.802760207015526,2990
2026-02-19T22:51:11.880,T1,20260219_225121,218,1.0,0.0,3.386,-79.4,-94.8,-15.4,146.12,48,11932,7014,4496,13875,1631,True,1,2.386,2.0733275412684624,8.507050889025138,2518
2026-02-19T22:51:12.897,T1,20260219_225121,220,1.0,0.0,3.401,-77.9,-93.3,-15.4,242.31,48,6481,11631,10980,15413,1634,True,1,2.401,0.5732608022643846,9.432680538555692,651
2026-02-19T22:51:13.857,T1,20260219_225121,222,1.0,0.0,2.828,-81.2,-97.8,-16.6,140.04,48,6358,6722,4558,12493,1649,True,1,1.828,1.1273049645390072,7.5761067313523345,2164
2026-02-19T22:51:15.357,T1,20260219_225121,225,1.0,0.0,2.941,-81.8,-95.0,-13.2,148.96,56,9910,8342,5881,11887,1639,True,1,1.941,1.3935175420094215,7.252593044539354,2461
2026-02-19T22:51:15.897,T1,20260219_225121,226,1.0,0.0,2.974,-76.6,-93.4,-16.8,207.33,48,7895,9952,7508,12588,1411,True,1,1.974,0.9043528064146621,8.921332388377037,2444
2026-02-19T22:51:18.417,T1,20260219_225121,231,1.0,0.0,3.264,-84.6,-94.4,-9.7,191.27,52,10854,9946,7600,11410,1772,True,1,2.264,1.2372050609825602,6.439051918735892,2346
2026-02-19T22:51:20.337,T1,20260219_225121,235,1.0,0.0,2.908,-78.9,-94.9,-16.0,138.45,44,10911,6092,4120,12241,1507,True,1,1.908,2.1368977673325498,8.122760451227604,1972
2026-02-19T22:51:20.817,T1,20260219_225121,236,1.0,0.0,3.269,-77.2,-92.0,-14.8,210.29,56,50,11776,10483,10006,1285,True,1,2.269,0.004492564805247316,7.786770428015564,1293
2026-02-19T22:51:21.357,T1,20260219_225121,237,1.0,0.0,2.866,-80.0,-97.8,-17.8,82.81,48,7094,3975,2788,9373,1369,True,1,1.866,2.0978855537483367,6.846603360116873,1187
2026-02-19T22:51:22.437,T1,20260219_225121,239,1.0,0.0,3.133,-77.1,-91.5,-14.3,288.55,44,115,12696,15913,14819,1559,True,1,2.133,0.008039428151980147,9.505452212957024,3217
2026-02-19T22:51:24.357,T1,20260219_225121,243,1.0,0.0,2.899,-66.7,-80.0,-13.3,473.64,36,18706,17051,12268,15122,1098,True,1,1.899,1.2760326068419796,13.77231329690346,4783
2026-02-19T22:51:24.897,T1,20260219_225121,244,1.0,0.0,3.433,-65.3,-80.8,-15.6,381.64,44,6145,16792,16467,13214,977,True,1,2.433,0.36952403860609156,13.525076765609008,325
2026-02-19T22:51:25.377,T1,20260219_225121,245,1.0,0.0,3.518,-70.0,-86.2,-16.2,353.0,52,13089,18356,14697,16899,1301,True,1,2.518,0.7920007261065561,12.98923904688701,3659
2026-02-19T22:51:26.878,T1,20260219_225121,248,1.0,0.0,2.556,-79.1,-98.5,-19.4,141.17,48,4919,6776,5716,16279,1751,True,1,1.556,0.7875440281780339,9.296973158195318,1060
2026-02-19T22:51:27.417,T1,20260219_225121,249,1.0,0.0,3.18,-81.1,-97.9,-16.8,75.83,48,7646,3640,8873,18108,1977,True,1,2.18,1.222089027411492,9.159332321699544,5233
2026-02-19T22:51:28.377,T1,20260219_225121,251,1.0,0.0,3.143,-78.8,-96.8,-18.0,87.85,52,8621,4568,7530,16536,1741,True,1,2.143,1.4251942469829724,9.497989661114302,2962
2026-02-19T22:51:28.917,T1,20260219_225121,252,1.0,0.0,2.96,-76.6,-95.8,-19.3,68.22,64,9082,4366,9148,18875,1724,True,1,1.96,1.3440876128459376,10.948375870069606,4782
2026-02-19T22:51:29.457,T1,20260219_225121,253,1.0,0.0,3.082,-82.6,-97.1,-14.5,173.57,60,3678,10414,7940,16565,1988,True,1,2.082,0.4007845701209546,8.332494969818914,2474
2026-02-19T22:51:29.887,T1,20260219_225121,254,1.0,0.0,3.1,-81.6,-97.4,-15.8,168.1,48,3787,8069,9403,17318,1965,True,1,2.1,0.43349358974358976,8.81323155216285,1334
2026-02-19T22:51:32.877,T1,20260219_225121,260,1.0,0.0,2.81,-77.0,-92.0,-15.0,213.98,56,6849,11983,10332,12209,1410,True,1,1.81,0.6138471879901412,8.65886524822695,1651
2026-02-19T22:51:34.377,T1,20260219_225121,263,1.0,0.0,2.861,-80.6,-98.2,-17.6,117.11,36,2840,4216,4952,6754,1185,True,1,1.861,0.6195462478184991,5.6995780590717295,736
2026-02-19T22:51:34.917,T1,20260219_225121,264,1.0,0.0,3.039,-78.0,-97.9,-19.9,122.96,52,5785,6394,4332,13894,1553,True,1,2.039,1.0786873018832743,8.946555054732775,2062
2026-02-19T22:51:35.397,T1,20260219_225121,265,1.0,0.0,2.8,-76.9,-93.5,-16.6,125.23,48,11891,6011,6532,12822,1439,True,1,1.7999999999999998,1.8960376305509048,8.910354412786658,521
2026-02-19T22:51:36.898,T1,20260219_225121,268,1.0,0.0,2.838,-77.2,-93.6,-16.4,134.38,56,12150,7525,8414,16142,1631,True,1,1.838,1.5245623941276114,9.896995708154506,889
2026-02-19T22:51:40.436,T1,20260219_225121,275,1.0,0.0,2.659,-77.1,-93.2,-16.1,188.18,40,10466,7527,8499,12759,1442,True,1,1.6589999999999998,1.3061275427430425,8.848127600554784,972
2026-02-19T22:51:40.916,T1,20260219_225121,276,1.0,0.0,3.086,-77.0,-94.3,-17.3,187.82,40,8757,7513,7392,13109,1458,True,1,2.086,1.175041932237504,8.991083676268861,121
2026-02-19T22:51:41.397,T1,20260219_225121,277,1.0,0.0,3.11,-74.8,-91.2,-16.4,240.5,60,13148,14430,9506,18548,1607,True,1,2.11,1.098596256684492,11.542003733665215,4924
