
sample,millis,distance_m,round_trip_ticks,reply_delay_ticks,tof_ticks,rx_power_dBm,fp_power_dBm,quality,temp_C,pressure_hPa
72,54479,157.0281,360076150,360009192,33479,-66.95,-107.64,20.19,25.35,1005.6
73,54547,157.5205,372456574,372389405,33584,-66.62,-106.18,17.11,25.35,1005.6
74,54616,157.0421,358652911,358585946,33482,-66.55,-106.90,14.50,25.35,1005.6
75,54702,157.8582,358189624,358122311,33656,-66.67,-100.40,6.10,25.37,1005.6
76,54770,157.9239,373787115,373719774,33670,-66.04,-103.59,22.12,25.37,1005.6
77,54839,157.8864,371290515,371223190,33662,-66.36,-101.49,20.42,25.37,1005.6
78,54908,157.8489,373307709,373240400,33654,-66.49,-101.87,24.56,25.37,1005.6
79,54977,157.8442,358471452,358404145,33653,-66.29,-101.01,34.31,25.37,1005.6
80,55046,157.8582,367398140,367330827,33656,-65.69,-101.65,45.18,25.37,1005.6
81,55115,157.0937,367563813,367496826,33493,-66.10,-105.53,20.09,25.37,1005.6
82,55184,157.2110,373866557,373799521,33518,-65.72,-102.92,27.62,25.37,1005.6
83,55253,157.1078,372298796,372231804,33496,-65.77,-106.45,19.79,25.37,1005.6
84,55322,157.1500,372862053,372795042,33505,-66.36,-106.78,25.60,25.37,1005.6
85,55391,158.4868,359451493,359383912,33790,-65.94,-101.83,23.88,25.37,1005.6
86,55460,157.8723,359823215,359755897,33659,-66.68,-109.06,19.20,25.37,1005.6
87,55529,157.8676,371875288,371807971,33658,-66.38,-101.05,13.00,25.37,1005.6
88,55598,157.8582,369000462,368933149,33656,-65.97,-102.22,26.46,25.37,1005.6
89,55667,157.9145,367946348,367879011,33668,-65.83,-102.29,40.79,25.37,1005.6
90,55736,157.8958,357804751,357737423,33664,-66.01,-100.50,17.80,25.37,1005.6
91,55805,157.8864,368858469,368791145,33662,-66.37,-104.57,30.48,25.37,1005.6
92,55874,157.8911,369561577,369494251,33663,-66.09,-103.92,30.33,25.37,1005.6
93,55943,157.9005,362686072,362618741,33665,-65.89,-98.51,19.50,25.37,1005.6
94,56012,157.9192,358188346,358121007,33669,-66.22,-102.38,33.45,25.37,1005.6
95,56081,157.8301,364792822,364725522,33650,-66.28,-99.19,23.28,25.37,1005.6
96,56150,157.9567,368175287,368107932,33677,-65.57,-101.20,43.55,25.37,1005.6
97,56219,157.9052,368843110,368775777,33666,-66.25,-101.55,42.61,25.37,1005.6
98,56287,157.8723,360644516,360577197,33659,-65.56,-102.24,47.97,25.37,1005.6
99,56355,157.9052,357783595,357716262,33666,-65.33,-101.41,21.78,25.37,1005.6
100,56441,157.8864,359607546,359540221,33662,-65.50,-101.02,8.99,25.37,1005.5
101,56510,157.9474,371509511,371442160,33675,-65.23,-102.60,47.49,25.37,1005.5
102,56579,157.8958,367436768,367369440,33664,-66.87,-104.32,30.29,25.37,1005.5
103,56648,158.5383,360728909,360661306,33801,-65.77,-97.87,26.07,25.37,1005.5
104,56717,157.5487,363902529,363835349,33590,-66.23,-98.28,18.53,25.37,1005.5
105,56786,157.9286,362537826,362470484,33671,-65.40,-103.33,8.75,25.37,1005.5
106,56855,157.5909,361981935,361914736,33599,-65.69,-109.06,18.77,25.37,1005.5
107,56924,157.3282,364787032,364719945,33543,-66.16,-99.99,46.76,25.37,1005.5
